Context,Error,Lag 1 day,Lag 3 day,Lag 7 day
Day1 (24h),MAE,3.23237721776306,3.175884375283279,2.908513927648866
Day1 (24h),RMSE,4.61348917208889,4.462845601750161,3.997498147167615
Day1 (24h),MBE,0.5208075321450649,0.6548154538253821,0.5151137154822075
Day1 (24h),SMAPE,61.182377220616566,61.01284878776481,61.21730467723295
Day2 (48h),MAE,3.961944193819461,3.7520246594457287,3.078798353708951
Day2 (48h),RMSE,5.558613833569622,5.165611395268083,4.245529268713403
Day2 (48h),MBE,0.3396132397204746,0.8717048403391789,0.3314659445730248
Day2 (48h),SMAPE,70.83269704155919,68.12854586941191,64.53626161140657
Day3 (72h),MAE,4.338239464100875,4.005285659763773,3.096934108891288
Day3 (72h),RMSE,5.982185883303954,5.502834381245706,4.307174433026875
Day3 (72h),MBE,0.2701719790658531,0.7140589702201477,0.2687136894547903
Day3 (72h),SMAPE,75.38869138854578,71.67487408912365,63.59109002848628
