Context,Error,Lag 1 day,Lag 3 day,Lag 7 day
Day1 (24h),MAE,116.87722182944329,118.17014329284608,116.240604893964
Day1 (24h),RMSE,175.6773760010588,179.748695621773,177.34433021976142
Day1 (24h),MBE,3.1936344281615714,4.233029033192771,1.8578630014630504
Day1 (24h),SMAPE,39.48710012462988,38.57231828937711,37.77973902901235
Day2 (48h),MAE,124.99212083568462,124.3877644248096,119.70300414881764
Day2 (48h),RMSE,186.40574629484783,187.2189741887892,181.1832664986529
Day2 (48h),MBE,4.153573378182788,3.4197783872890875,2.342788550305737
Day2 (48h),SMAPE,41.28819380137022,40.11833740597789,38.54483858073845
Day3 (72h),MAE,128.0978061627182,127.598487975531,122.0782845148591
Day3 (72h),RMSE,188.5897249720075,191.3390319692468,183.362073880186
Day3 (72h),MBE,6.274101619324479,3.94627201380898,1.0237348118778435
Day3 (72h),SMAPE,42.23754844794645,41.007346639158015,39.21287889942133
